player,mlb_id,il_days,active_days,pct_injured_%,fb_velo,fb_spin,breaking_%,g2025,ip2025,ip_per_g_2025
A.J. Puk,640462,334,1165,28.67,95.9,2232.0,33.8,8,8.0,1.0
Andrew Hoffmann,694851,0,183,0.0,94.6,2286.0,14.1,11,12.0,1.09
Andrew Saalfrank,685314,0,549,0.0,90.4,2207.0,39.6,28,29.0,1.04
Blake Walston,686796,67,366,18.31,90.0,2096.0,27.7,0,0.0,0.0
Brandon Pfaadt,694297,0,549,0.0,93.3,2498.0,30.5,33,176.2,5.34
Brandyn Garcia,805299,0,183,0.0,96.3,2230.0,36.1,14,14.1,1.01
Corbin Burnes,669203,137,1348,10.16,95.1,2670.0,28.1,11,64.1,5.83
Cristian Mena,691441,154,366,42.08,95.2,2394.0,40.9,3,6.2,2.07
Drey Jameson,686753,136,732,18.58,96.0,2186.0,28.1,3,3.0,1.0
Eduardo Rodriguez,593958,606,1897,31.95,92.1,2196.0,8.0,29,154.1,5.31
Joe Ross,605452,684,1897,36.06,93.6,2073.0,32.2,37,51.0,1.38
Jonathan Loáisiga,642528,615,1348,45.62,97.4,2339.0,21.1,30,29.2,0.97
Juan Burgos,686228,27,183,14.75,93.6,2404.0,28.0,13,13.1,1.01
Juan Morillo,666661,0,183,0.0,98.9,2231.0,21.4,42,34.1,0.81
Justin Martinez,679885,135,549,24.59,100.2,2143.0,18.6,17,15.1,0.89
Kade Strowd,669704,0,183,0.0,93.6,2441.0,24.2,25,26.1,1.04
Kevin Ginkel,656464,122,1165,10.47,95.3,2375.0,39.7,29,25.2,0.87
Merrill Kelly,518876,207,1165,17.77,91.7,2344.0,17.4,32,184.0,5.75
Michael Soroka,647336,628,1348,46.59,92.9,2347.0,27.8,22,89.2,4.05
Paul Sewald,623149,155,1531,10.12,91.6,2426.0,35.6,22,19.2,0.87
Philip Abner,691769,0,183,0.0,90.8,2358.0,23.2,5,3.2,0.64
Ryan Thompson,657044,195,982,19.86,90.7,2029.0,32.8,48,41.1,0.86
Ryne Nelson,669194,38,732,5.19,94.0,2235.0,20.2,33,154.0,4.67
Taylor Clarke,664199,315,1165,27.04,94.5,2278.0,37.0,51,55.1,1.08
Yilber Díaz,700270,0,366,0.0,95.8,2238.0,38.6,1,3.0,3.0
Zac Gallen,668678,91,1165,7.81,92.8,2338.0,26.3,33,192.0,5.82
