player,mlb_id,il_days,active_days,pct_injured_%,fb_velo,fb_spin,breaking_%,g2025,ip2025,ip_per_g_2025
Aaron Civale,650644,0,1165,0.0,89.9,2445.0,28.7,23,102.0,4.43
Brady Basso,669620,129,366,35.25,91.5,2288.0,16.6,11,11.2,1.02
Eduarniel Núñez,674384,0,183,0.0,97.4,2608.0,33.6,10,12.2,1.22
Elvis Alvarado,665660,0,183,0.0,98.2,2423.0,28.3,37,42.1,1.14
Gunnar Hoglund,680684,121,183,66.12,93.6,2414.0,21.7,6,32.1,5.35
Hogan Harris,663687,0,549,0.0,92.7,2269.0,21.8,48,64.2,1.34
J.T. Ginn,669372,50,366,13.66,93.1,1942.0,24.0,23,90.1,3.92
Jack Perkins,678022,38,183,20.77,95.3,2288.0,29.5,12,38.2,3.18
Jacob Lopez,682052,34,549,6.19,89.9,2125.0,29.5,21,92.2,4.39
Jeffrey Springs,605488,413,1348,30.64,91.1,2203.0,22.2,32,171.0,5.34
Joey Estes,683155,33,549,6.01,92.1,2362.0,31.7,3,11.0,3.67
Justin Sterner,686993,0,366,0.0,91.2,2487.0,13.8,59,65.0,1.1
Luis Medina,665622,146,549,26.59,96.0,2350.0,33.0,0,0.0,0.0
Luis Morales,806960,0,183,0.0,97.3,2501.0,32.2,10,48.2,4.82
Luis Severino,622663,510,1897,26.88,96.2,2273.0,28.1,29,162.2,5.59
Mark Leiter Jr.,643410,227,1531,14.83,91.0,1989.0,17.2,59,48.1,0.82
Mason Barnett,686930,0,183,0.0,94.3,2224.0,30.8,5,22.1,4.42
Michael Kelly,547184,32,732,4.37,95.0,2344.0,57.5,42,39.2,0.93
Scott Barlow,605130,0,1348,0.0,93.2,2331.0,61.6,75,68.1,0.91
Tyler Ferguson,621053,0,366,0.0,94.1,2286.0,24.5,56,58.0,1.04
