player,mlb_id,il_days,active_days,pct_injured_%,fb_velo,fb_spin,breaking_%,g2025,ip2025
AJ Smith-Shawver,700363,171,549,31.15,,,,0,0.0
Aaron Bummer,607481,0,1531,0.0,,,,0,0.0
Bryce Elder,693821,0,732,0.0,,,,0,0.0
Chris Sale,519242,458,2059,22.24,,,,0,0.0
Danny Young,664849,154,732,21.04,,,,0,0.0
Daysbel Hernández,678226,105,549,19.13,,,,0,0.0
Didier Fuentes,800311,0,183,0.0,,,,0,0.0
Dylan Dodd,689266,0,549,0.0,,,,0,0.0
Dylan Lee,669276,119,915,13.01,,,,0,0.0
Grant Holmes,656550,66,366,18.03,,,,0,0.0
Hayden Harris,802686,0,183,0.0,,,,0,0.0
Hunter Stratton,676702,106,549,19.31,,,,0,0.0
Hurston Waldrep,694462,106,366,28.96,,,,0,0.0
Joe Jiménez,641729,22,1531,1.44,,,,0,0.0
Joel Payamps,606303,28,1165,2.4,,,,0,0.0
Joey Wentz,666214,0,732,0.0,,,,0,0.0
José Suarez,660761,359,1165,30.82,,,,0,0.0
Martín Pérez,527048,579,2263,25.59,,,,0,0.0
Osvaldo Bido,674370,21,549,3.83,,,,0,0.0
Raisel Iglesias,628452,277,1897,14.6,,,,0,0.0
Reynaldo López,625643,300,1714,17.5,,,,0,0.0
Robert Suarez,663158,151,732,20.63,,,,0,0.0
Rolddy Muñoz,691548,0,183,0.0,,,,0,0.0
Spencer Schwellenbach,680885,91,366,24.86,,,,0,0.0
Spencer Strider,675911,212,915,23.17,,,,0,0.0
Tyler Kinley,641755,134,1348,9.94,,,,0,0.0
