player,mlb_id,il_days,active_days,pct_injured_%,fb_velo,fb_spin,breaking_%,g2025,ip2025
Albert Suárez,544150,164,1714,9.57,,,,0,0.0
Andrew Kittredge,552640,183,1531,11.95,,,,0,0.0
Anthony Nunez,689296,0,0,0.0,,,,0,0.0
Brandon Young,687064,40,183,21.86,,,,0,0.0
Cade Povich,700249,49,366,13.39,,,,0,0.0
Chayce McDermott,694646,9,366,2.46,,,,0,0.0
Chris Bassitt,605135,573,1897,30.21,,,,0,0.0
Colin Selby,681882,56,549,10.2,,,,0,0.0
Dean Kremer,665152,95,982,9.67,,,,0,0.0
Dietrich Enns,608650,0,1531,0.0,,,,0,0.0
Félix Bautista,642585,288,732,39.34,,,,0,0.0
Grant Wolfram,664991,0,183,0.0,,,,0,0.0
Jayvien Sandridge,682144,0,183,0.0,,,,0,0.0
Jose Espada,664744,0,549,0.0,,,,0,0.0
Keegan Akin,669211,137,982,13.95,,,,0,0.0
Kyle Bradish,680694,157,732,21.45,,,,0,0.0
Rico Garcia,670329,200,1165,17.17,,,,0,0.0
Ryan Helsley,664854,252,1165,21.63,,,,0,0.0
Shane Baz,669358,501,915,54.75,,,,0,0.0
Trevor Rogers,669432,213,982,21.69,,,,0,0.0
Tyler Wells,669330,243,915,26.56,,,,0,0.0
Yaramil Hiraldo,682274,0,183,0.0,,,,0,0.0
Yennier Cano,666974,0,732,0.0,,,,0,0.0
Zach Eflin,621107,620,1714,36.17,,,,0,0.0
