player,mlb_id,il_days,active_days,pct_injured_%,fb_velo,fb_spin,breaking_%,g2025,ip2025,ip_per_g_2025
Aroldis Chapman,547973,235,2584,9.09,99.3,2451.0,21.9,67,61.1,0.91
Brayan Bello,678394,76,732,10.38,94.8,2109.0,21.3,29,166.2,5.73
Connelly Early,813349,0,183,0.0,94.0,2262.0,38.6,4,19.1,4.78
Danny Coulombe,543056,290,1897,15.29,89.0,2416.0,45.0,55,43.0,0.78
Garrett Crochet,676979,280,982,28.51,95.1,2484.0,15.4,32,205.1,6.41
Garrett Whitlock,676477,292,915,31.91,95.0,2115.0,21.8,62,72.0,1.16
Greg Weissert,669711,0,732,0.0,94.0,2205.0,30.1,72,67.0,0.93
Johan Oviedo,670912,18,982,1.83,95.6,2280.0,47.8,9,40.1,4.46
Jovani Morán,663558,0,915,0.0,92.9,2248.0,5.5,2,4.0,2.0
Justin Slaten,686580,133,366,36.34,94.0,2453.0,30.7,36,34.0,0.94
Kutter Crawford,676710,180,915,19.67,91.0,2469.0,23.6,0,0.0,0.0
Patrick Sandoval,663776,150,1165,12.88,93.2,1985.0,33.6,0,0.0,0.0
Payton Tolle,801139,0,183,0.0,95.3,2332.0,15.4,7,16.1,2.3
Ranger Suarez,624133,121,1348,8.98,91.4,1957.0,16.8,26,157.1,6.04
Ryan Watson,670245,0,0,0.0,92.4,2176.0,28.7,0,0.0,0.0
Sonny Gray,543243,208,1897,10.96,92.4,2424.0,36.1,32,180.2,5.63
Tanner Houck,656557,258,982,26.27,93.7,2162.0,35.2,9,43.2,4.8
Zack Kelly,677161,164,732,22.4,94.1,2264.0,21.4,28,35.1,1.25
