player,mlb_id,il_days,active_days,pct_injured_%,fb_velo,fb_spin,breaking_%,g2025,ip2025
Ben Brown,676962,67,366,18.31,,,,0,0.0
Cade Horton,690990,2,183,1.09,,,,0,0.0
Caleb Thielbar,573204,295,1897,15.55,,,,0,0.0
Colin Rea,607067,244,1897,12.86,,,,0,0.0
Daniel Palencia,694037,132,549,24.04,,,,0,0.0
Edward Cabrera,665795,163,915,17.81,,,,0,0.0
Ethan Roberts,681799,335,732,45.77,,,,0,0.0
Gavin Hollowell,668970,118,732,16.12,,,,0,0.0
Hoby Milner,571948,53,1531,3.46,,,,0,0.0
Hunter Harvey,640451,443,1165,38.03,,,,0,0.0
Jacob Webb,657097,151,1165,12.96,,,,0,0.0
Jameson Taillon,592791,617,1714,36.0,,,,0,0.0
Javier Assad,665871,120,732,16.39,,,,0,0.0
Jordan Wicks,696136,129,549,23.5,,,,0,0.0
Justin Steele,657006,266,915,29.07,,,,0,0.0
Luke Little,681432,80,549,14.57,,,,0,0.0
Matthew Boyd,571510,374,1897,19.72,,,,0,0.0
Phil Maton,664208,156,1531,10.19,,,,0,0.0
Porter Hodge,687863,56,366,15.3,,,,0,0.0
Ryan Rolison,669020,0,183,0.0,,,,0,0.0
Shelby Miller,571946,552,2263,24.39,,,,0,0.0
Shota Imanaga,684007,52,366,14.21,,,,0,0.0
