player,mlb_id,il_days,active_days,pct_injured_%,fb_velo,fb_spin,breaking_%,g2025,ip2025
Anthony Kay,641743,132,1165,11.33,,,,0,0.0
Brandon Eisert,685126,0,366,0.0,,,,0,0.0
Bryan Hudson,663542,41,549,7.47,,,,0,0.0
Chris Murphy,669684,0,549,0.0,,,,0,0.0
Davis Martin,663436,215,732,29.37,,,,0,0.0
Drew Thorpe,689672,60,366,16.39,,,,0,0.0
Erick Fedde,607200,172,1531,11.23,,,,0,0.0
Grant Taylor,691799,0,183,0.0,,,,0,0.0
Jonathan Cannon,686563,26,366,7.1,,,,0,0.0
Jordan Hicks,663855,446,1348,33.09,,,,0,0.0
Jordan Leasure,673929,75,366,20.49,,,,0,0.0
Ky Bush,681066,17,366,4.64,,,,0,0.0
Lucas Sims,608371,411,1531,26.85,,,,0,0.0
Mike Vasil,678024,0,183,0.0,,,,0,0.0
Prelander Berroa,672860,0,549,0.0,,,,0,0.0
Sean Burke,680732,0,366,0.0,,,,0,0.0
Sean Newcomb,656794,251,1531,16.39,,,,0,0.0
Seranthony Domínguez,622554,425,1348,31.53,,,,0,0.0
Shane Smith,681343,13,183,7.1,,,,0,0.0
Tyler Gilbert,656457,107,915,11.69,,,,0,0.0
Wikelman González,682790,5,183,2.73,,,,0,0.0
