player,mlb_id,il_days,active_days,pct_injured_%,fb_velo,fb_spin,breaking_%,g2025,ip2025
Andrew Abbott,671096,39,549,7.1,,,,0,0.0
Brady Singer,663903,39,982,3.97,,,,0,0.0
Brandon Williamson,682227,129,549,23.5,,,,0,0.0
Brock Burke,656271,310,1165,26.61,,,,0,0.0
Caleb Ferguson,657571,444,1348,32.94,,,,0,0.0
Chase Burns,695505,27,183,14.75,,,,0,0.0
Chase Petty,695534,0,183,0.0,,,,0,0.0
Connor Phillips,683175,0,549,0.0,,,,0,0.0
Emilio Pagán,641941,88,1531,5.75,,,,0,0.0
Graham Ashcraft,668933,191,732,26.09,,,,0,0.0
Hunter Greene,668881,246,732,33.61,,,,0,0.0
Jose Franco,683742,0,0,0.0,,,,0,0.0
Julian Aguiar,687924,7,366,1.91,,,,0,0.0
Kyle Nicolas,693312,13,549,2.37,,,,0,0.0
Luis Mey,682825,0,183,0.0,,,,0,0.0
Nick Lodolo,666157,359,732,49.04,,,,0,0.0
Pierce Johnson,572955,178,1531,11.63,,,,0,0.0
Rhett Lowder,695076,119,366,32.51,,,,0,0.0
Sam Moll,594580,77,1531,5.03,,,,0,0.0
Tony Santillan,663574,175,915,19.13,,,,0,0.0
Zach Maxwell,687209,0,183,0.0,,,,0,0.0
