player,mlb_id,il_days,active_days,pct_injured_%,fb_velo,fb_spin,breaking_%,g2025,ip2025
Andrew Walters,689958,123,366,33.61,,,,0,0.0
Cade Smith,671922,0,366,0.0,,,,0,0.0
Codi Heuer,676051,183,982,18.64,,,,0,0.0
Colin Holderman,670059,168,732,22.95,,,,0,0.0
Connor Brogdon,641401,218,982,22.2,,,,0,0.0
Erik Sabrowski,681870,62,366,16.94,,,,0,0.0
Gavin Williams,668909,52,549,9.47,,,,0,0.0
Hunter Gaddis,683769,0,732,0.0,,,,0,0.0
Joey Cantillo,676282,0,366,0.0,,,,0,0.0
Kolby Allard,663465,129,1348,9.57,,,,0,0.0
Logan Allen,671106,8,549,1.46,,,,0,0.0
Matt Festa,670036,15,1348,1.11,,,,0,0.0
Parker Messick,800048,0,183,0.0,,,,0,0.0
Peyton Pallette,688883,0,0,0.0,,,,0,0.0
Shawn Armstrong,542888,81,1897,4.27,,,,0,0.0
Slade Cecconi,677944,0,549,0.0,,,,0,0.0
Tanner Bibee,676440,13,549,2.37,,,,0,0.0
Tim Herrin,682120,0,549,0.0,,,,0,0.0
