player,mlb_id,il_days,active_days,pct_injured_%,fb_velo,fb_spin,breaking_%,g2025,ip2025,ip_per_g_2025
Antonio Senzatela,622608,683,1531,44.61,94.3,2138.0,30.4,30,130.0,4.33
Brennan Bernardino,657514,44,732,6.01,90.4,2168.0,34.4,55,51.2,0.93
Carson Palmquist,687223,0,183,0.0,88.8,2124.0,28.6,9,34.1,3.79
Chase Dollander,801403,28,183,15.3,96.3,2455.0,20.1,21,98.0,4.67
Jaden Hill,677955,0,366,0.0,97.1,2321.0,21.4,28,29.1,1.04
Jeff Criswell,676105,170,366,46.45,95.1,2282.0,36.1,0,0.0,0.0
Jimmy Herget,623474,88,1165,7.55,91.7,2334.0,52.3,59,83.1,1.41
Jose Quintana,500779,198,1897,10.44,91.5,2048.0,25.9,24,131.2,5.47
Juan Mejia,675848,0,183,0.0,96.5,2567.0,31.1,55,61.1,1.11
Kyle Freeland,607536,372,1531,24.3,89.5,2306.0,15.0,31,162.2,5.23
Luis Peralta,678821,13,366,3.55,94.5,2218.0,23.7,22,19.0,0.86
McCade Brown,685326,0,183,0.0,94.3,2322.0,37.3,7,25.2,3.6
Michael Lorenzen,547179,505,1897,26.62,94.1,2370.0,25.1,27,141.2,5.23
Pierson Ohl,701487,0,183,0.0,90.5,2259.0,5.8,14,30.0,2.14
Ryan Feltner,663372,228,915,24.92,94.4,2327.0,36.3,6,30.1,5.02
Seth Halvorsen,678020,57,366,15.57,99.8,2246.0,21.2,42,39.2,0.93
Tanner Gordon,685299,39,366,10.66,92.3,2232.0,26.5,15,75.1,5.01
Tomoyuki Sugano,608372,0,183,0.0,91.6,2373.0,27.0,30,157.0,5.23
Valente Bellozo,678368,0,366,0.0,87.2,2297.0,21.4,32,81.1,2.53
Victor Vodnik,680767,55,549,10.02,97.9,2276.0,15.9,52,50.2,0.97
Zach Agnos,688642,59,183,32.24,94.0,2330.0,17.2,30,31.1,1.04
