player,mlb_id,il_days,active_days,pct_injured_%,fb_velo,fb_spin,breaking_%,g2025,ip2025,ip_per_g_2025
Bailey Horn,690544,0,366,0.0,93.4,2417.0,40.4,10,11.1,1.11
Beau Brieske,689225,159,732,21.72,95.5,2446.0,18.6,22,22.0,1.0
Brant Hurter,676428,0,366,0.0,92.3,2125.0,30.0,43,63.0,1.47
Brenan Hanifee,669724,0,549,0.0,95.0,2034.0,20.6,54,60.0,1.11
Casey Mize,663554,424,982,43.18,94.3,2193.0,30.2,28,149.0,5.32
Connor Seabold,657756,84,915,9.18,92.3,2121.0,25.3,7,10.1,1.44
Drew Anderson,623454,23,1531,1.5,93.2,2241.0,25.6,0,0.0,0.0
Drew Sommers,805427,0,183,0.0,93.6,1988.0,31.9,4,3.0,0.75
Enmanuel De Jesus,646241,0,549,0.0,92.6,2274.0,16.5,0,0.0,0.0
Framber Valdez,664285,57,1348,4.23,93.8,2194.0,34.2,31,192.0,6.19
Jack Flaherty,656427,245,1531,16.0,93.1,2219.0,42.8,31,161.0,5.19
Jackson Jobe,695549,124,366,33.88,96.2,2395.0,36.2,10,49.0,4.9
Justin Verlander,434378,420,1897,22.14,94.5,2517.0,38.5,29,152.0,5.24
Keider Montero,672456,0,366,0.0,94.3,2199.0,36.9,20,90.2,4.51
Kenley Jansen,445276,303,2571,11.79,92.9,2557.0,9.7,62,59.0,0.95
Kyle Finnegan,640448,28,982,2.85,96.5,2077.0,10.0,56,57.0,1.02
Reese Olson,681857,169,549,30.78,94.5,2202.0,32.4,13,68.2,5.25
Sawyer Gipson-Long,687830,208,549,37.89,91.9,2237.0,25.8,8,31.1,3.89
Tarik Skubal,669373,59,982,6.01,95.9,2211.0,23.7,31,195.1,6.29
Troy Melton,675512,0,183,0.0,96.1,2240.0,25.7,16,45.2,2.83
Ty Madden,680744,0,366,0.0,92.5,2314.0,21.2,0,0.0,0.0
Tyler Holton,663947,0,732,0.0,90.1,2253.0,18.5,70,78.2,1.12
Will Vest,676684,130,915,14.21,95.5,2128.0,26.0,64,68.2,1.07
