player,mlb_id,il_days,active_days,pct_injured_%,fb_velo,fb_spin,breaking_%,g2025,ip2025,ip_per_g_2025
AJ Blubaugh,805123,0,183,0.0,93.9,2333.0,23.4,11,32.0,2.91
Bennett Sousa,656986,275,732,37.57,94.6,2162.0,47.6,44,50.2,1.14
Brandon Walter,687888,68,549,12.39,89.8,2203.0,20.7,9,53.2,5.91
Bryan Abreu,650556,73,1165,6.27,96.9,2323.0,51.2,70,71.0,1.01
Bryan King,687911,0,366,0.0,91.9,2133.0,30.9,68,68.0,1.0
Christian Roa,685005,0,183,0.0,95.8,2104.0,20.2,2,3.0,1.5
Cody Bolton,675989,13,549,2.37,93.6,2385.0,24.6,1,2.0,2.0
Colton Gordon,676467,0,183,0.0,91.1,2055.0,39.5,20,86.0,4.3
Cristian Javier,664299,279,982,28.41,93.2,2320.0,34.4,8,37.0,4.62
Enyel De Los Santos,660853,0,1348,0.0,95.3,2229.0,29.4,65,66.0,1.02
Hayden Wesneski,669713,207,732,28.28,92.8,2182.0,32.6,6,32.0,5.33
Hunter Brown,686613,0,732,0.0,95.2,2237.0,21.4,31,185.1,5.97
Jason Alexander,669920,183,732,25.0,91.6,2086.0,18.2,18,77.1,4.28
Jayden Murray,681151,0,183,0.0,95.2,2379.0,27.0,9,11.2,1.24
Josh Hader,623352,58,1531,3.79,95.6,2121.0,23.0,48,52.2,1.09
Kai-Wei Teng,678906,0,366,0.0,93.1,2427.0,48.6,8,29.2,3.65
Lance McCullers Jr.,621121,639,1897,33.68,94.0,2254.0,45.3,16,55.1,3.44
Mike Burrows,681347,0,366,0.0,95.3,2274.0,30.1,23,96.0,4.17
Nate Pearson,663878,336,982,34.22,97.5,2265.0,40.9,11,14.2,1.29
Roddery Muñoz,682610,0,366,0.0,93.6,2297.0,21.6,9,11.0,1.22
Ronel Blanco,669854,132,732,18.03,93.7,2241.0,41.5,9,48.1,5.34
Ryan Weiss,680802,0,0,0.0,94.6,2449.0,25.3,0,0.0,0.0
Spencer Arrighetti,681293,146,366,39.89,92.0,2360.0,29.2,7,35.1,5.01
Steven Okert,595345,282,1714,16.45,92.4,2276.0,51.4,68,71.2,1.05
Tatsuya Imai,837227,0,0,0.0,95.5,2071.0,40.0,0,0.0,0.0
