player,mlb_id,il_days,active_days,pct_injured_%,fb_velo,fb_spin,breaking_%,g2025,ip2025,ip_per_g_2025
Alec Marsh,679525,167,549,30.42,94.1,2461.0,37.6,0,0.0,0.0
Alex Lange,656638,203,915,22.19,96.1,2249.0,50.3,1,1.0,1.0
Bailey Falter,663559,96,915,10.49,91.6,1996.0,34.3,26,125.1,4.81
Carlos Estévez,608032,184,1714,10.74,97.1,2216.0,22.1,67,66.0,0.99
Cole Ragans,666142,129,732,17.62,94.4,2518.0,21.1,13,61.2,4.71
Daniel Lynch IV,663738,134,915,14.64,93.6,2135.0,31.5,57,67.2,1.18
Eli Morgan,669212,226,915,24.7,91.6,2251.0,24.7,7,7.1,1.01
James McArthur,663704,166,549,30.24,94.7,2296.0,53.1,0,0.0,0.0
John Schreiber,670167,91,1165,7.81,92.4,2220.0,30.3,74,64.0,0.86
Kris Bubic,663460,519,982,52.85,91.7,2195.0,23.9,20,116.1,5.8
Lucas Erceg,668674,34,549,6.19,97.8,2024.0,22.1,61,61.1,1.0
Luinder Avila,679883,0,183,0.0,96.1,2396.0,37.4,13,14.0,1.08
Mason Black,696131,0,366,0.0,92.6,2109.0,30.2,1,4.0,4.0
Matt Strahm,621381,499,1714,29.11,91.7,2414.0,19.0,66,62.1,0.94
Michael Wacha,608379,367,1998,18.37,92.6,2096.0,11.5,31,172.2,5.55
Mitch Spence,687765,0,366,0.0,91.3,2468.0,41.7,32,84.2,2.63
Nick Mears,683232,341,982,34.73,96.0,2268.0,38.3,63,56.2,0.89
Noah Cameron,702070,0,183,0.0,90.6,2352.0,32.3,24,138.1,5.75
Ryan Bergert,686701,27,183,14.75,93.4,2393.0,40.7,19,76.1,4.01
Seth Lugo,607625,224,1714,13.07,92.7,2311.0,37.4,26,145.1,5.58
Stephen Kolek,663568,62,366,16.94,93.6,2219.0,21.7,19,112.2,5.91
Steven Cruz,674444,47,549,8.56,96.5,2207.0,22.1,47,45.2,0.96
