player,mlb_id,il_days,active_days,pct_injured_%,fb_velo,fb_spin,breaking_%,g2025,ip2025
Alek Manoah,666201,162,915,17.7,,,,0,0.0
Ben Joyce,690829,239,549,43.53,,,,0,0.0
Brent Suter,608718,349,1714,20.36,,,,0,0.0
Caden Dana,702674,0,366,0.0,,,,0,0.0
Chase Silseth,681217,78,732,10.66,,,,0,0.0
Drew Pomeranz,519141,576,2147,26.83,,,,0,0.0
Grayson Rodriguez,680570,229,549,41.71,,,,0,0.0
Jack Kochanowicz,686799,0,366,0.0,,,,0,0.0
Joey Lucchesi,664192,426,1348,31.6,,,,0,0.0
Jordan Romano,605447,213,1165,18.28,,,,0,0.0
José Fermin,820862,19,183,10.38,,,,0,0.0
José Soriano,667755,68,549,12.39,,,,0,0.0
Kirby Yates,489446,330,1897,17.4,,,,0,0.0
Mitch Farris,815083,0,183,0.0,,,,0,0.0
Reid Detmers,672282,49,915,5.36,,,,0,0.0
Robert Stephenson,596112,440,1714,25.67,,,,0,0.0
Ryan Johnson,696270,0,183,0.0,,,,0,0.0
Ryan Zeferjahn,666171,17,366,4.64,,,,0,0.0
Sam Aldegheri,691951,16,366,4.37,,,,0,0.0
Sam Bachman,696147,79,549,14.39,,,,0,0.0
Shaun Anderson,641312,77,1165,6.61,,,,0,0.0
Walbert Urena,700712,0,0,0.0,,,,0,0.0
Yusei Kikuchi,579328,22,1165,1.89,,,,0,0.0
