player,mlb_id,il_days,active_days,pct_injured_%,fb_velo,fb_spin,breaking_%,g2025,ip2025,ip_per_g_2025
Alex Vesia,681911,71,982,7.23,93.5,2385.0,28.5,68,59.2,0.87
Ben Casparius,676508,0,366,0.0,94.5,2538.0,43.8,46,77.2,1.68
Blake Snell,605483,377,1714,22.0,95.3,2421.0,31.3,11,61.1,5.55
Blake Treinen,595014,254,1897,13.39,96.1,2368.0,28.0,32,26.2,0.82
Bobby Miller,676272,67,549,12.2,98.4,2308.0,31.9,2,5.0,2.5
Brock Stewart,592779,642,1714,37.46,94.3,2482.0,17.1,43,37.2,0.87
Brusdar Graterol,660813,277,1165,23.78,98.5,2083.0,24.7,0,0.0,0.0
Edgardo Henriquez,683618,72,366,19.67,98.6,2472.0,21.6,22,19.0,0.86
Edwin Díaz,621242,198,1714,11.55,97.7,2327.0,39.1,62,66.1,1.07
Emmet Sheehan,686218,0,549,0.0,95.5,2373.0,30.3,15,73.1,4.87
Evan Phillips,623465,188,1348,13.95,94.7,2312.0,36.6,7,5.2,0.74
Gavin Stone,694813,25,549,4.55,94.4,2190.0,17.2,0,0.0,0.0
Grant Holman,680880,104,366,28.42,94.5,1951.0,12.6,22,23.0,1.05
Jack Dreyer,676263,0,183,0.0,92.8,2403.0,52.5,67,76.1,1.14
Jake Cousins,664776,176,915,19.23,95.2,2277.0,53.8,0,0.0,0.0
Jake Eder,671109,0,366,0.0,93.4,2002.0,36.2,8,18.1,2.26
Justin Wrobleski,680736,0,366,0.0,94.9,2349.0,32.8,24,66.2,2.76
Kyle Hurt,669165,303,549,55.19,95.8,2010.0,3.8,0,0.0,0.0
Landon Knack,689017,0,366,0.0,93.4,2425.0,31.7,10,42.1,4.21
Paul Gervase,801434,0,183,0.0,93.0,2234.0,27.1,6,8.1,1.35
River Ryan,689981,51,366,13.93,95.9,2393.0,39.0,0,0.0,0.0
Roki Sasaki,808963,133,183,72.68,96.4,2068.0,11.2,10,36.1,3.61
Tanner Scott,656945,58,1531,3.79,96.7,2539.0,46.4,61,57.0,0.93
Tyler Glasnow,607192,544,1714,31.74,96.3,2412.0,38.4,18,90.1,5.01
Will Klein,694361,0,366,0.0,96.7,2194.0,32.8,14,15.1,1.08
Yoshinobu Yamamoto,808967,80,366,21.86,94.7,2241.0,22.2,30,173.2,5.77
