player,mlb_id,il_days,active_days,pct_injured_%,fb_velo,fb_spin,breaking_%,g2025,ip2025
Adam Mazur,800049,0,366,0.0,,,,0,0.0
Andrew Nardi,677053,66,732,9.02,,,,0,0.0
Anthony Bender,669622,367,915,40.11,,,,0,0.0
Bradley Blalock,687134,0,366,0.0,,,,0,0.0
Braxton Garrett,666129,123,982,12.53,,,,0,0.0
Cade Gibson,806188,0,183,0.0,,,,0,0.0
Calvin Faucher,676534,85,732,11.61,,,,0,0.0
Chris Paddack,663978,470,1165,40.34,,,,0,0.0
Eury Pérez,691587,188,549,34.24,,,,0,0.0
Janson Junk,676083,12,915,1.31,,,,0,0.0
John King,667463,125,982,12.73,,,,0,0.0
Lake Bachar,669199,0,366,0.0,,,,0,0.0
Max Meyer,676974,396,732,54.1,,,,0,0.0
Michael Petersen,656848,0,366,0.0,,,,0,0.0
Pete Fairbanks,664126,247,1165,21.2,,,,0,0.0
Ronny Henriquez,678692,183,732,25.0,,,,0,0.0
Ryan Gusto,687473,29,183,15.85,,,,0,0.0
Sandy Alcantara,645261,234,1531,15.28,,,,0,0.0
Tyler Phillips,663969,0,366,0.0,,,,0,0.0
