player,mlb_id,il_days,active_days,pct_injured_%,fb_velo,fb_spin,breaking_%,g2025,ip2025
Aaron Ashby,676879,0,915,0.0,,,,0,0.0
Abner Uribe,682842,0,549,0.0,,,,0,0.0
Angel Zerpa,672582,249,915,27.21,,,,0,0.0
Brandon Sproat,687075,0,183,0.0,,,,0,0.0
Brandon Woodruff,605540,235,1531,15.35,,,,0,0.0
Carlos Rodriguez,692230,0,366,0.0,,,,0,0.0
Chad Patrick,694477,0,183,0.0,,,,0,0.0
Craig Yoho,684974,0,183,0.0,,,,0,0.0
DL Hall,669084,155,732,21.17,,,,0,0.0
Easton McGee,668834,337,732,46.04,,,,0,0.0
Grant Anderson,681982,43,549,7.83,,,,0,0.0
Jacob Misiorowski,694819,12,183,6.56,,,,0,0.0
Jake Woodford,663765,119,982,12.12,,,,0,0.0
Jared Koenig,657649,22,732,3.01,,,,0,0.0
Kyle Harrison,690986,45,549,8.2,,,,0,0.0
Logan Henderson,701656,54,183,29.51,,,,0,0.0
Quinn Priester,682990,33,549,6.01,,,,0,0.0
Rob Zastryzny,642239,157,1714,9.16,,,,0,0.0
Robert Gasser,688107,118,366,32.24,,,,0,0.0
Trevor Megill,656730,105,915,11.48,,,,0,0.0
