player,mlb_id,il_days,active_days,pct_injured_%,fb_velo,fb_spin,breaking_%,g2025,ip2025,ip_per_g_2025
Anthony Banda,607455,208,1531,13.59,94.7,2137.0,23.6,71,65.0,0.92
Bailey Ober,641927,157,915,17.16,91.4,2277.0,30.2,27,146.1,5.41
Cody Laweryson,689520,0,183,0.0,91.0,2335.0,6.6,5,7.2,1.44
Cole Sands,663485,46,732,6.28,92.6,2333.0,17.5,69,72.0,1.04
David Festa,701581,68,366,18.58,94.4,2365.0,27.0,11,53.1,4.83
Eric Orze,679358,0,366,0.0,93.9,2233.0,23.2,33,41.2,1.25
Garrett Acton,670183,0,549,0.0,94.9,2447.0,18.3,1,1.0,1.0
Joe Ryan,657746,96,915,10.49,92.8,2224.0,22.9,31,171.0,5.52
Justin Topa,623437,427,982,43.48,94.0,2176.0,27.9,54,60.0,1.11
Kody Funderburk,681892,68,549,12.39,92.4,2298.0,29.8,39,41.0,1.05
Mick Abel,690953,0,183,0.0,96.1,2506.0,33.6,10,39.0,3.9
Pablo López,641154,289,1348,21.44,93.8,2148.0,21.3,14,75.2,5.37
Simeon Woods Richardson,680573,23,732,3.14,92.9,2207.0,38.0,23,111.1,4.83
Taj Bradley,671737,183,549,33.33,94.1,2282.0,12.8,27,142.2,5.27
Taylor Rogers,573124,66,1714,3.85,93.6,2093.0,45.4,57,50.2,0.88
Travis Adams,701519,0,183,0.0,93.4,2408.0,21.9,18,33.2,1.84
Zak Kent,687849,3,183,1.64,92.5,2715.0,52.6,12,17.2,1.43
Zebby Matthews,805673,41,366,11.2,94.7,2331.0,31.1,16,79.1,4.94
