player,mlb_id,il_days,active_days,pct_injured_%,fb_velo,fb_spin,breaking_%,g2025,ip2025
A.J. Minter,621345,274,1531,17.9,,,,0,0.0
Alex Carrillo,692024,0,183,0.0,,,,0,0.0
Austin Warren,681810,431,915,47.1,,,,0,0.0
Brooks Raley,548384,274,2041,13.42,,,,0,0.0
Christian Scott,681035,70,366,19.13,,,,0,0.0
Clay Holmes,605280,115,1348,8.53,,,,0,0.0
David Peterson,656849,284,982,28.92,,,,0,0.0
Dedniel Núñez,673380,150,366,40.98,,,,0,0.0
Devin Williams,642207,205,1165,17.6,,,,0,0.0
Freddy Peralta,642547,271,1348,20.1,,,,0,0.0
Huascar Brazobán,623211,43,732,5.87,,,,0,0.0
Joey Gerber,680702,183,982,18.64,,,,0,0.0
Jonah Tong,804636,0,183,0.0,,,,0,0.0
Jonathan Pintaro,702752,0,183,0.0,,,,0,0.0
Justin Hagenman,663795,0,183,0.0,,,,0,0.0
Kodai Senga,673540,201,549,36.61,,,,0,0.0
Luis García,472610,264,2027,13.02,,,,0,0.0
Luke Weaver,596133,488,1714,28.47,,,,0,0.0
Nolan McLean,690997,0,183,0.0,,,,0,0.0
Reed Garrett,657585,112,1165,9.61,,,,0,0.0
Richard Lovelady,663992,189,1165,16.22,,,,0,0.0
Sean Manaea,640455,141,1714,8.23,,,,0,0.0
Tobias Myers,668964,0,366,0.0,,,,0,0.0
Tylor Megill,656731,278,915,30.38,,,,0,0.0
