player,mlb_id,il_days,active_days,pct_injured_%,fb_velo,fb_spin,breaking_%,g2025,ip2025,ip_per_g_2025
Angel Chivilli,683409,0,366,0.0,96.8,2290.0,18.5,43,58.2,1.35
Brent Headrick,687396,41,549,7.47,92.8,2350.0,31.0,17,23.0,1.35
Cam Schlittler,693645,0,183,0.0,96.3,2409.0,20.3,14,73.0,5.21
Camilo Doval,666808,0,915,0.0,98.6,2479.0,43.5,69,65.1,0.94
Carlos Rodón,607074,381,1897,20.08,94.3,2278.0,30.4,33,195.1,5.91
Clarke Schmidt,657376,372,982,37.88,93.0,2623.0,45.6,14,78.2,5.59
David Bednar,670280,81,1165,6.95,96.7,2381.0,26.2,64,62.2,0.97
Fernando Cruz,518585,102,732,13.93,91.9,2312.0,4.1,49,48.0,0.98
Gerrit Cole,543037,139,2012,6.91,96.5,2357.0,33.5,0,0.0,0.0
Jake Bird,656234,43,732,5.87,94.0,2102.0,37.3,48,55.1,1.15
Kervin Castro,665645,183,915,20.0,93.4,2319.0,21.9,0,0.0,0.0
Luis Gil,661563,232,915,25.36,96.2,2449.0,27.5,11,57.0,5.18
Max Fried,608331,251,1531,16.39,93.7,2136.0,36.7,32,195.1,6.1
Paul Blackburn,621112,510,1531,33.31,90.3,2191.0,22.9,15,39.0,2.6
Ryan Weathers,677960,204,982,20.77,95.1,2208.0,23.4,8,38.1,4.76
Ryan Yarbrough,642232,172,1348,12.76,85.5,2020.0,17.9,19,64.0,3.37
Tim Hill,657612,63,1348,4.67,89.9,2130.0,10.4,70,67.0,0.96
Will Warren,701542,0,366,0.0,93.2,2513.0,26.2,33,162.1,4.91
Yerry De los Santos,660787,94,732,12.84,95.0,2164.0,20.7,25,35.2,1.41
