player,mlb_id,il_days,active_days,pct_injured_%,fb_velo,fb_spin,breaking_%,g2025,ip2025
Aaron Nola,605400,0,1897,0.0,,,,0,0.0
Alan Rangel,660604,0,183,0.0,,,,0,0.0
Andrew Painter,691725,0,0,0.0,,,,0,0.0
Brad Keller,641745,174,1348,12.91,,,,0,0.0
Chase Shugart,663767,34,366,9.29,,,,0,0.0
Cristopher Sánchez,650911,183,915,20.0,,,,0,0.0
Jesús Luzardo,666200,225,1165,19.31,,,,0,0.0
Jhoan Duran,661395,183,732,25.0,,,,0,0.0
Jonathan Bowlan,680742,0,549,0.0,,,,0,0.0
José Alvarado,621237,227,1531,14.83,,,,0,0.0
Kyle Backhus,679775,0,183,0.0,,,,0,0.0
Max Lazar,676661,0,366,0.0,,,,0,0.0
Nolan Hoffman,676510,0,183,0.0,,,,0,0.0
Orion Kerkering,689147,183,549,33.33,,,,0,0.0
Seth Johnson,686751,0,366,0.0,,,,0,0.0
Taijuan Walker,592836,781,2080,37.55,,,,0,0.0
Tanner Banks,621383,0,732,0.0,,,,0,0.0
Tim Mayza,641835,210,1531,13.72,,,,0,0.0
Zach Pop,647315,166,915,18.14,,,,0,0.0
Zack Wheeler,554430,452,1897,23.83,,,,0,0.0
