player,mlb_id,il_days,active_days,pct_injured_%,fb_velo,fb_spin,breaking_%,g2025,ip2025,ip_per_g_2025
Braxton Ashcraft,677952,0,183,0.0,96.7,2395.0,50.6,26,69.2,2.66
Bubba Chandler,696149,0,183,0.0,98.6,2417.0,24.9,7,31.1,4.44
Cam Sanders,676742,0,183,0.0,95.7,2488.0,19.0,6,6.2,1.03
Carmen Mlodzinski,669387,48,549,8.74,95.3,2207.0,31.8,34,99.0,2.91
Dennis Santana,642701,136,1348,10.09,94.6,2464.0,34.5,70,70.1,1.0
Evan Sisk,681895,0,183,0.0,90.1,2094.0,30.8,19,17.2,0.91
Gregory Soto,642397,12,1165,1.03,97.4,2350.0,31.8,70,60.1,0.86
Hunter Barco,682995,0,183,0.0,93.9,2251.0,19.4,2,3.0,1.5
Isaac Mattson,676755,0,915,0.0,93.8,2354.0,12.5,44,47.2,1.07
Jared Jones,683003,54,366,14.75,97.3,2525.0,42.9,0,0.0,0.0
José Urquidy,664353,337,1165,28.93,93.0,2237.0,26.7,2,2.1,1.05
Justin Lawrence,664875,162,915,17.7,95.4,2333.0,42.2,17,17.2,1.01
Mason Montgomery,682254,0,366,0.0,98.0,2290.0,29.4,57,46.0,0.81
Mitch Keller,656605,45,1165,3.86,93.3,2407.0,29.5,32,176.1,5.5
Paul Skenes,694973,0,366,0.0,98.3,2254.0,25.4,32,187.2,5.85
Thomas Harrington,802419,0,183,0.0,91.4,2142.0,21.5,3,8.2,2.73
Yohan Ramírez,670990,7,982,0.71,95.3,2260.0,37.1,24,33.1,1.38
