player,mlb_id,il_days,active_days,pct_injured_%,fb_velo,fb_spin,breaking_%,g2025,ip2025,ip_per_g_2025
Adrian Morejon,670970,330,1165,28.33,97.0,2437.0,26.1,75,73.2,0.98
Alek Jacob,689690,71,549,12.93,85.6,2313.0,13.0,29,33.1,1.14
Bradgley Rodriguez,699134,0,183,0.0,96.6,2320.0,0.3,7,7.2,1.03
Bryan Hoeing,663773,144,732,19.67,93.9,1995.0,25.3,7,8.0,1.14
David Morgan,688158,12,183,6.56,97.4,2318.0,41.0,41,47.1,1.15
Germán Márquez,608566,316,1714,18.44,95.0,2161.0,39.1,26,126.1,4.85
Griffin Canning,656288,156,1165,13.39,93.4,2216.0,35.9,16,76.1,4.76
JP Sears,676664,0,732,0.0,92.3,2074.0,32.5,27,135.2,5.01
Jason Adam,592094,156,1348,11.57,94.5,2621.0,33.1,65,65.1,1.0
Jeremiah Estrada,669093,0,732,0.0,97.2,2218.0,20.2,77,73.0,0.95
Jhony Brito,666745,190,549,34.61,96.0,2124.0,18.5,0,0.0,0.0
Joe Musgrove,605397,358,1714,20.89,92.0,2479.0,37.9,0,0.0,0.0
Kyle Hart,606996,31,982,3.16,90.9,2132.0,38.5,20,43.0,2.15
Mason Miller,695243,131,549,23.86,100.1,2485.0,34.8,60,61.2,1.02
Matt Waldron,663362,51,549,9.29,89.9,2060.0,17.0,1,4.2,4.2
Michael King,650633,236,1165,20.26,93.6,2314.0,22.8,15,73.1,4.87
Nick Pivetta,601713,37,1531,2.42,93.6,2303.0,37.7,31,181.2,5.85
Randy Vásquez,681190,5,549,0.91,92.6,2436.0,26.5,28,133.2,4.76
Ron Marinaccio,676760,21,732,2.87,93.8,2266.0,14.3,7,10.2,1.46
Ty Adcock,686654,0,549,0.0,95.8,2154.0,37.6,3,3.0,1.0
Walker Buehler,621111,316,1531,20.64,94.8,2424.0,27.8,26,126.0,4.85
Wandy Peralta,593974,206,1714,12.02,95.5,2151.0,18.6,71,71.2,1.0
Yuki Matsui,673513,0,366,0.0,92.1,2427.0,29.5,61,63.1,1.03
