player,mlb_id,il_days,active_days,pct_injured_%,fb_velo,fb_spin,breaking_%,g2025,ip2025
Adrian Houser,605288,94,1897,4.96,,,,0,0.0
Blade Tidwell,694918,0,183,0.0,,,,0,0.0
Caleb Kilian,668873,191,732,26.09,,,,0,0.0
Carson Seymour,693313,0,183,0.0,,,,0,0.0
Carson Whisenhunt,687931,29,183,15.85,,,,0,0.0
Dylan Smith,681916,0,183,0.0,,,,0,0.0
Erik Miller,669062,88,366,24.04,,,,0,0.0
Hayden Birdsong,806185,0,366,0.0,,,,0,0.0
JT Brubaker,664141,310,982,31.57,,,,0,0.0
Jason Foley,671345,119,915,13.01,,,,0,0.0
Joel Peguero,666711,0,183,0.0,,,,0,0.0
José Buttó,676130,19,732,2.6,,,,0,0.0
Keaton Winn,676775,124,549,22.59,,,,0,0.0
Landen Roupp,694738,59,366,16.12,,,,0,0.0
Logan Webb,657277,124,1165,10.64,,,,0,0.0
Matt Gage,657424,0,732,0.0,,,,0,0.0
Randy Rodríguez,678495,79,366,21.58,,,,0,0.0
Reiver Sanmartin,665665,328,915,35.85,,,,0,0.0
Robbie Ray,592662,314,1897,16.55,,,,0,0.0
Rowan Wick,592858,140,1348,10.39,,,,0,0.0
Ryan Borucki,621366,475,1348,35.24,,,,0,0.0
Ryan Walker,676254,0,549,0.0,,,,0,0.0
Sam Hentges,656529,81,915,8.85,,,,0,0.0
Spencer Bivens,702352,0,366,0.0,,,,0,0.0
Trevor McDonald,686790,0,366,0.0,,,,0,0.0
Tristan Beck,663941,183,549,33.33,,,,0,0.0
Tyler Mahle,641816,405,1531,26.45,,,,0,0.0
