player,mlb_id,il_days,active_days,pct_injured_%,fb_velo,fb_spin,breaking_%,g2025,ip2025
Andrés Muñoz,662253,308,1165,26.44,,,,0,0.0
Blas Castaño,680604,0,183,0.0,,,,0,0.0
Bryan Woo,693433,31,549,5.65,,,,0,0.0
Bryce Miller,682243,103,549,18.76,,,,0,0.0
Carlos Vargas,672841,0,549,0.0,,,,0,0.0
Casey Legumina,668984,75,549,13.66,,,,0,0.0
Cole Wilcox,677961,0,183,0.0,,,,0,0.0
Cooper Criswell,681867,169,915,18.47,,,,0,0.0
Eduard Bazardo,660825,271,915,29.62,,,,0,0.0
Emerson Hancock,676106,41,549,7.47,,,,0,0.0
Gabe Speier,642100,66,1165,5.67,,,,0,0.0
George Kirby,669923,0,732,0.0,,,,0,0.0
Jose A. Ferrer,678606,0,549,0.0,,,,0,0.0
Josh Simpson,681006,0,183,0.0,,,,0,0.0
Logan Evans,688138,43,183,23.5,,,,0,0.0
Logan Gilbert,669302,51,915,5.57,,,,0,0.0
Luis Castillo,622491,56,1531,3.66,,,,0,0.0
Matt Brash,666374,146,732,19.95,,,,0,0.0
Troy Taylor,700187,0,366,0.0,,,,0,0.0
Yosver Zulueta,691172,0,366,0.0,,,,0,0.0
