player,mlb_id,il_days,active_days,pct_injured_%,fb_velo,fb_spin,breaking_%,g2025,ip2025
Andre Pallante,669467,0,732,0.0,,,,0,0.0
Chris Roycroft,688297,0,366,0.0,,,,0,0.0
Dustin May,669160,498,1165,42.75,,,,0,0.0
George Soriano,666277,0,549,0.0,,,,0,0.0
Gordon Graceffo,700669,0,366,0.0,,,,0,0.0
Hunter Dobbins,690928,100,183,54.64,,,,0,0.0
JoJo Romero,668941,364,982,37.07,,,,0,0.0
Justin Bruihl,677865,0,915,0.0,,,,0,0.0
Kyle Leahy,681517,0,549,0.0,,,,0,0.0
Matt Pushard,690155,0,0,0.0,,,,0,0.0
Matt Svanson,694335,0,183,0.0,,,,0,0.0
Matthew Liberatore,669461,13,732,1.78,,,,0,0.0
Michael McGreevy,700241,0,366,0.0,,,,0,0.0
Nick Raquet,675919,0,183,0.0,,,,0,0.0
Richard Fitts,690916,78,366,21.31,,,,0,0.0
Riley O'Brien,676617,119,915,13.01,,,,0,0.0
Ryan Fernandez,681676,0,366,0.0,,,,0,0.0
Ryne Stanek,592773,64,1531,4.18,,,,0,0.0
