player,mlb_id,il_days,active_days,pct_injured_%,fb_velo,fb_spin,breaking_%,g2025,ip2025,ip_per_g_2025
Bryan Baker,641329,0,915,0.0,96.2,2310.0,26.1,73,68.2,0.93
Cam Booser,592155,51,366,13.93,92.4,2083.0,25.4,39,31.0,0.79
Cole Sulser,642121,176,1165,15.11,92.3,2315.0,11.6,18,22.2,1.23
Drew Rasmussen,656876,342,982,34.83,94.0,2518.0,19.9,31,150.0,4.84
Edwin Uceta,670955,142,915,15.52,92.8,2417.0,6.7,70,76.0,1.09
Garrett Cleavinger,664076,230,982,23.42,95.1,2378.0,41.0,67,61.1,0.91
Griffin Jax,643377,0,915,0.0,95.3,2399.0,45.9,73,66.0,0.9
Hunter Bigge,685801,148,366,40.44,97.4,2367.0,38.3,13,15.0,1.15
Ian Seymour,693855,0,183,0.0,90.2,2171.0,9.9,19,57.0,3.0
Jesse Scholtens,669947,7,549,1.28,93.0,2077.0,49.7,2,8.1,4.05
Joe Boyle,671212,30,549,5.46,98.1,2534.0,33.2,13,52.0,4.0
Joe Rock,697812,0,183,0.0,93.1,2291.0,23.0,3,7.2,2.4
Kevin Kelly,687330,64,549,11.66,90.3,2183.0,29.4,41,39.2,0.96
Manuel Rodríguez,655889,212,915,23.17,96.7,2196.0,38.0,31,30.1,0.97
Mason Englert,669438,69,549,12.57,91.3,2225.0,25.6,29,44.2,1.52
Nick Martinez,607259,85,1982,4.29,91.4,2322.0,20.1,40,165.2,4.13
Ryan Pepiot,686752,143,732,19.54,94.5,2398.0,19.3,31,167.2,5.39
Shane McClanahan,663556,257,982,26.17,96.6,2240.0,39.1,0,0.0,0.0
Steven Matz,571927,481,1897,25.36,94.0,2141.0,22.6,53,76.2,1.44
Steven Wilson,621051,134,732,18.31,94.2,2420.0,49.5,59,55.1,0.93
Yoendrys Gómez,672782,0,549,0.0,93.4,2427.0,34.4,21,62.2,2.96
