player,mlb_id,il_days,active_days,pct_injured_%,fb_velo,fb_spin,breaking_%,g2025,ip2025
Carter Baumler,691945,0,0,0.0,,,,0,0.0
Chris Martin,455119,227,1897,11.97,,,,0,0.0
Cody Bradford,674003,282,549,51.37,,,,0,0.0
Cole Winn,668390,115,366,31.42,,,,0,0.0
Jack Leiter,683004,27,366,7.38,,,,0,0.0
Jacob Latz,656641,45,915,4.92,,,,0,0.0
Jacob deGrom,594798,569,1948,29.21,,,,0,0.0
Jakob Junis,596001,212,1531,13.85,,,,0,0.0
Jalen Beeks,656222,313,1348,23.22,,,,0,0.0
Jordan Montgomery,656756,370,1531,24.17,,,,0,0.0
Jose Corniell,692030,0,183,0.0,,,,0,0.0
Kumar Rocker,677958,41,366,11.2,,,,0,0.0
Luis Curvelo,681168,0,183,0.0,,,,0,0.0
MacKenzie Gore,669022,101,732,13.8,,,,0,0.0
Marc Church,687847,0,366,0.0,,,,0,0.0
Michel Otañez,671305,0,366,0.0,,,,0,0.0
Nathan Eovaldi,543135,433,2329,18.59,,,,0,0.0
Robert Garcia,676395,14,549,2.55,,,,0,0.0
Tyler Alexander,641302,132,1165,11.33,,,,0,0.0
