player,mlb_id,il_days,active_days,pct_injured_%,fb_velo,fb_spin,breaking_%,g2025,ip2025
Bowden Francis,670102,146,732,19.95,,,,0,0.0
Braydon Fisher,680755,0,183,0.0,,,,0,0.0
Brendon Little,663893,0,732,0.0,,,,0,0.0
Chase Lee,695445,0,183,0.0,,,,0,0.0
Cody Ponce,664074,183,982,18.64,,,,0,0.0
Dylan Cease,656302,2,1165,0.17,,,,0,0.0
Eric Lauer,641778,185,1348,13.72,,,,0,0.0
Jake Bloss,814005,161,366,43.99,,,,0,0.0
Jeff Hoffman,656546,312,1714,18.2,,,,0,0.0
José Berríos,621244,4,1714,0.23,,,,0,0.0
Kevin Gausman,592332,215,1897,11.33,,,,0,0.0
Lazaro Estrada,681751,0,183,0.0,,,,0,0.0
Louis Varland,686973,0,732,0.0,,,,0,0.0
Mason Fluharty,689254,0,183,0.0,,,,0,0.0
Max Scherzer,453286,1326,2991,44.33,,,,0,0.0
Shane Bieber,669456,464,1348,34.42,,,,0,0.0
Spencer Miles,693686,0,0,0.0,,,,0,0.0
Tommy Nance,667297,186,915,20.33,,,,0,0.0
Trey Yesavage,702056,0,183,0.0,,,,0,0.0
Tyler Rogers,643511,0,1165,0.0,,,,0,0.0
Yimi García,554340,483,1897,25.46,,,,0,0.0
