player,mlb_id,il_days,active_days,pct_injured_%,fb_velo,fb_spin,breaking_%,g2025,ip2025
Andre Granillo,701552,0,183,0.0,,,,0,0.0
Andrew Alvarez,674841,0,183,0.0,,,,0,0.0
Brad Lord,695418,0,183,0.0,,,,0,0.0
Cade Cavalli,676917,214,732,29.23,,,,0,0.0
Cionel Pérez,672335,197,1348,14.61,,,,0,0.0
Clayton Beeter,690925,0,366,0.0,,,,0,0.0
Cole Henry,669371,15,183,8.2,,,,0,0.0
DJ Herz,687792,0,366,0.0,,,,0,0.0
Foster Griffin,656492,203,982,20.67,,,,0,0.0
Gus Varland,681402,219,549,39.89,,,,0,0.0
Jackson Rutledge,671131,0,549,0.0,,,,0,0.0
Jake Irvin,663623,9,549,1.64,,,,0,0.0
Josiah Gray,680686,175,915,19.13,,,,0,0.0
Julian Fernández,642759,0,915,0.0,,,,0,0.0
Ken Waldichuk,686610,0,732,0.0,,,,0,0.0
Miles Mikolas,571945,206,2009,10.25,,,,0,0.0
Mitchell Parker,680730,0,366,0.0,,,,0,0.0
Orlando Ribalta,687377,101,366,27.6,,,,0,0.0
PJ Poulin,676571,0,183,0.0,,,,0,0.0
Paxton Schultz,687606,30,183,16.39,,,,0,0.0
Trevor Williams,592866,266,1714,15.52,,,,0,0.0
Zack Littell,641793,142,1348,10.53,,,,0,0.0
